Dish,Origin
Salbutes,MEXICO
Salsa,MEXICO
Salsa,MEXICO
Salsa chipotle,MEXICO
Salsa verde,MEXICO
Sincronizadas,MEXICO
Sopa,MEXICO
Sopa Azteca,MEXICO
Sopa de fideo,MEXICO
sopa de flor de calabaza,MEXICO
Sopa de lima,MEXICO
Sopa de nueces,MEXICO
Sopa de pescado siete mares,MEXICO
Sopa de pollo,MEXICO
Sopa de tortilla,MEXICO
Sopa tarasca,MEXICO
Sopaipilla,MEXICO
Sopes,MEXICO
Taco al pastor,MEXICO
Tacos,MEXICO
Tacos de sesos,MEXICO
Tacuarines,MEXICO
Tamales,MEXICO
Taquitos,MEXICO
Tlacoyos,MEXICO
Tlayudas,MEXICO
Tortas,MEXICO
Tortillas,MEXICO
Tostadas,MEXICO
Tostilocos,MEXICO
Totopo,MEXICO
Tripas,MEXICO
Venado,MEXICO
Yuca,MEXICO
American cheese,USA
Banana bread,USA
Banana pudding,USA
BLT,USA
Bologna sausage,USA
Breakfast sausage,USA
Buffalo Wings,USA
Calas,USA
Charleston red rice,USA
Chaudin,USA
Cheddar cheese,USA
Cheesesteak,USA
Chicken bog,USA
Chili con carne,USA
Chocolate brownie,USA
Chocolate chip cookies,USA
Chorizo,USA
Club sandwich,USA
Colby,USA
Cornbread,USA
Cream cheese,USA
Cuban bread,USA
Dirty rice,USA
Fluffernutter,USA
Frybread,USA
Fudge,USA
Glorified rice,USA
Goetta,USA
Gouda,USA
Gumbo,USA
Gumbo,USA
Half-smoke,USA
Hamburger,USA
Hard-shell taco,USA
Hawaiian haystack,USA
Hoppin' John,USA
Hot dog,USA
Hot dogs,USA
Hot link,USA
Italian beef,USA
Italian hot dog,USA
Jambalaya,USA
Jell-O,USA
Key lime pie,USA
Lebanon bologna,USA
Maxwell Street Polish,USA
Monterey Jack,USA
Pastrami on rye,USA
Peanut butter and jelly sandwich,USA
Peanut butter cookie,USA
Pecan pie,USA
Polish Boy,USA
Pumpkin pie,USA
Red beans and rice,USA
Red velvet cake,USA
Reuben sandwich,USA
Rice and gravy,USA
Roasted turkey,USA
S'more,USA
Shrimp creole,USA
Sloppy joe,USA
Spanish rice,USA
Sundae,USA
Swiss,USA
Texas toast,USA
Velveeta,USA
Acquacotta,ITALY
Agghiotta di lumache,ITALY
Agliata,ITALY
Agrodolce,ITALY
Bagna càuda,ITALY
Capra e fagioli,ITALY
Cioppino broth based seafood stew,ITALY
Garmugia,ITALY
Ginestrata,ITALY
Grine sauce,ITALY
Maccu,ITALY
Sugo al Pomodoro,ITALY
Minestra di ceci,ITALY
Minestra di pasta con pesce,ITALY
Minestrone,ITALY
Pasta e fagioli,ITALY
Ragù alla bolognese,ITALY
Ragù alla napoletana,ITALY
Ragù alla salsiccia,ITALY
Ragù,ITALY
Risi e bisi,ITALY
Sciusceddu,ITALY
Stracciatella,ITALY
Boreto,ITALY
Fonduta,ITALY
Minestra di fagioli,ITALY
Pesto,ITALY
Bari,ITALY
Bozza pratese,ITALY
Casatiello,ITALY
Ciabatta,ITALY
Ciaccino,ITALY
Ciriola,ITALY
Colomba Pasquale,ITALY
Coppia Ferrarese,ITALY
Cornetto,ITALY
Crescentina,ITALY
Crescia,ITALY
Crocchè,ITALY
Farinata,ITALY
Ficattola,ITALY
Focaccia,ITALY
Fragguno,ITALY
Grissini torinesi,ITALY
Michetta,ITALY
Moddizzosu,ITALY
Muffuletta,ITALY
Neccio,ITALY
Pandoro,ITALY
Pane carasau,ITALY
Pane casareccio,ITALY
Pane di Altamura,ITALY
Pane di Genzano,ITALY
Pane pugliese,ITALY
Pane di Laterza,ITALY
Pane di Matera,ITALY
Pane rustico,ITALY
Pane toscano,ITALY
Panelle di ceci,ITALY
Panettone,ITALY
Panino,ITALY
Penia,ITALY
Piadina,ITALY
Pita,ITALY
Rosetta,ITALY
Schiacciata,ITALY
Taralli,ITALY
Testarolo,ITALY
Tigella,ITALY
Tortano,ITALY
Torta salata,ITALY
Ai frutti di mare,ITALY
Calzone,ITALY
Focaccia al rosmarino,ITALY
Pizza ai funghi e salsiccia,ITALY
Pizza al taglio,ITALY
Pizza ai quattro formaggi,ITALY
Pizza alla napoletana,ITALY
Pizza capricciosa,ITALY
Pizza Margherita,ITALY
Pizza marinara,ITALY
Pizza pugliese,ITALY
Pizza quattro stagioni,ITALY
Pizza romana,ITALY
Pizza siciliana,ITALY
Agnolotti,ITALY
Bavette,ITALY
Cannelloni,ITALY
Capellini,ITALY
Cappelletti,ITALY
Chitarra,ITALY
Conchiglie,ITALY
Ditalini,ITALY
Eliche,ITALY
Farfalle,ITALY
Garganelli,ITALY
Gnocchi,ITALY
Gnocchi di semolino,ITALY
Lasagna,ITALY
Maccheroni,ITALY
Offelle,ITALY
Orzo,ITALY
Paccheri,ITALY
Ravioli,ITALY
Spaghetti,ITALY
Stelline,ITALY
Testaroli,ITALY
Tacconi,ITALY
Vermicelli,ITALY
Ziti,ITALY
Bucatini all'Amatriciana,ITALY
Cannelloni al ragù,ITALY
Carbonara,ITALY
Ciceri e Tria,ITALY
Cacio e pepe,ITALY
Fettuccine Alfredo,ITALY
Lasagne,ITALY
Linguine alle vongole - with clam sauce,ITALY
Pansotti alla genovese,ITALY
Pasta all'Ortolana,ITALY
Pasta al pesto,ITALY
Penne all'arrabbiata,ITALY
Pasta con i peperoni cruschi,ITALY
Pasta con le sarde,ITALY
Ravioli,ITALY
Rigatoni con la Pajata,ITALY
Spaghetti alla Carrettiera,ITALY
Tagliatelle alla boscaiola,ITALY
Tortelloni alla zucca,ITALY
Tortellini,ITALY
Tortelloni ricotta and spinaci,ITALY
Trofie al pesto,ITALY
Tumact me tulez,ITALY
Ziti,ITALY
Arancini,ITALY
Insalata di riso,ITALY
Pomodori col riso,ITALY
Risi e bisi,ITALY
Riso al nero di seppia,ITALY
Riso alla toscana,ITALY
Riso con i porcini,ITALY
Riso e indivia,ITALY
Riso tonnato,ITALY
Riso valdostano,ITALY
Risotto,ITALY
Risotto ai gamberoni,ITALY
Risotto ai quattro sapori,ITALY
Risotto al Barolo,ITALY
Risotto al cavolfiore,ITALY
Risotto al Gorgonzola,ITALY
Risotto alla marinara,ITALY
Risotto alla milanese,ITALY
Risotto alla sbirraglia,ITALY
Risotto alla zucca,ITALY
Risotto allo zafferano con petto d'anatra,ITALY
Risotto con agoni,ITALY
Risotto con la lüganega,ITALY
Risotto con scamorza e champagne,ITALY
Risotto di seppie alla veneziana,ITALY
Risotto indivia e fiori di zucca,ITALY
Risotto saltato,ITALY
Sformato al basilico,ITALY
Sformato di riso dolce,ITALY
Tiella di riso,ITALY
Acciughe fritte in pastella,ITALY
Acciughe in carpione,ITALY
Acqua pazza,ITALY
Acquadella o latterino fritto,ITALY
Agghiotta di pesce spada,ITALY
Alici,ITALY
Anguilla marinata,ITALY
Baccalà,ITALY
Baccalà alla lucana,ITALY
Baccalà alla vicentina,ITALY
Baccalà fritto,ITALY
Baccalà mantecato[22],ITALY
Boreto alla graisana,ITALY
Branzino al sale,ITALY
Brodetto di arselle,ITALY
Buridda,ITALY
Cacciucco,ITALY
Calamaretti fritti,ITALY
Calamari in zimino,ITALY
Calamari ripieni,ITALY
Capesante alla veneziana,ITALY
Cappon magro,ITALY
Carpaccio di pesce,ITALY
Cartoccio di pesce spada,ITALY
Cozze alla tarantina,ITALY
Cozze fritte alla viareggina,ITALY
Cozze ripiene,ITALY
Filetti di baccalà,ITALY
Filetti di orata al cartoccio,ITALY
Fritata di bianchetti,ITALY
Fritto misto di pesce,ITALY
Frittura mista di pesce,ITALY
Grancevola alla veneziana,ITALY
Impanata di pesce spada,ITALY
Involtini di pesce,ITALY
Missultin e polenta,ITALY
Moscardini lessati alla genovese,ITALY
Murena fritta,ITALY
Nasello al forno,ITALY
Orata arrosto,ITALY
Orate al forno,ITALY
Pepata di cozze,ITALY
Pesce a scabecciu,ITALY
Pesce al cartoccio,ITALY
Pesce alla pizzaiola,ITALY
Pesce spada alla siciliana,ITALY
Pesce spada arrosto in salmoriglio,ITALY
Polpettine di mare,ITALY
Sarde a beccafico,ITALY
Sarde arraganate,ITALY
Sarde grigliate,ITALY
Sarde ripiene,ITALY
Sarde sfiziose panate,ITALY
Sardele in saor,ITALY
Sbroscia bolsenese,ITALY
Scampi a zuppetta,ITALY
Scampi gratinati,ITALY
Seppie col nero alla veneziana,ITALY
Seppie con i piselli,ITALY
Seppie ripiene,ITALY
Seppioline in umido,ITALY
Sogliole alla mugnaia,ITALY
Spiedini ai frutti di mare,ITALY
Spiedini di alici,ITALY
Spiedini di anguilla,ITALY
Stoccafisso alla genovese,ITALY
Stoccafisso alla ligure,ITALY
Tonno sott'olio,ITALY
Tortiera di cozze,ITALY
Totano imbottito,ITALY
Triglie alla livornese,ITALY
Zuppa di pesce,ITALY
